Name,Birthday,Birthplace,Horoscope,Votes
Ієн Сомерхолдер,08.12.1978,"Ковінгтон, Луїзіана, США",стрілець,4504
Олександр Домогаров,12.07.1963,"Москва, Росія",рак,3948 
Крістен Стюарт,09.04.1990,"Лос-Анджелес, Каліфорнія, США",овен,3866 
Неллі Уварова,14.03.1980,Литва,риби,3781 
Ірина Муравйова,08.02.1949,"Москва, Росія",водолій,3681 
Катерина Гусєва,09.07.1976,"Москва, Росія",рак,3483 
Роберт Паттінсон,13.05.1986,"Лондон, Англія, Великобританія",телець,3480 
Марина Александрова,29.08.1982,"Кішкунмайша, Угорщина",діва,3478 
Алісса Мілано,19.12.1972,"Бруклін, Нью-Йорк, США",стрілець,3318 
Холлі Мері Комбс,03.12.1973,"Сан-Дієго, США",стрілець,3216 
Михайло Боярський,26.12.1949,"Ленінград, Росія",козоріг,3137 
Шеннен Доерті,12.04.1971,"Мемфіс, Теннессі, США",овен,3127 
Єлизавета Боярська,20.12.1985,Ленінград,стрілець,3076 
Олександр Грішин,16.07.1974,"Дубовське, Ростовська область, СРСР (Росія)",рак,2926 
Бурак Озчивіт,24.12.1984,"Мерсіна, Туреччина",козоріг,2336 
Олексій Серебряков,03.06.1964,"Москва, Росія",близнята,1995 
Колін Ферт,10.09.1960,Великобританія,діва,1738 
Маріо Касас,12.06.1986,"Ла-Корунья, Галісія, Іспанія",близнята,1697 
Антон Макарський,26.11.1975,"м. Пенза, Росія",стрілець,1645 
Олександр Белявський,06.05.1932,"Москва, Росія",телець,1633 
